strategy_2_n,Index_Name,Event_Type,count,mean,median,std_dev,min,max,5PCT,25PCT,50PCT,75PCT,95PCT,Net_count,Net_mean,Net_median,Net_std_dev,Net_min,Net_max,Net_5PCT,Net_25PCT,Net_50PCT,Net_75PCT,Net_95PCT
2.0,S&P MidCap 400,Corporate Action,60,0.0037093452180045,0.0022574145158659,0.0364223146462013,-0.1552990119313366,0.0727732204216137,-0.0422028349072316,-0.0109086879313177,0.0022574145158659,0.0253921657135756,0.0580596888341935,60,8.866072435323678e-05,-0.000577020232617,0.0289303011733944,-0.1216300341358759,0.0644402696161873,-0.0341208390748703,-0.0091228887226121,-0.000577020232617,0.0119603188350947,0.0458851322075039
2.0,S&P SmallCap 600,Index Review,90,0.0043814765776653,0.0049713157506016,0.0282230400245892,-0.0714284862050843,0.1243851380676507,-0.0390263409426814,-0.0089659500050307,0.0049713157506016,0.0182486062524023,0.0428329579426624,90,0.002153686366068,0.0029216924193609,0.0241908156695737,-0.0619208169084002,0.1245450712141258,-0.0341228393104795,-0.0108028705401268,0.0029216924193609,0.0136331751505089,0.0312006030415475
3.0,S&P MidCap 400,Corporate Action,60,0.0010882297345118,0.0028937921296744,0.0238531918140174,-0.0801339755871141,0.0540507589299697,-0.0323660551587515,-0.0081627255306293,0.0028937921296744,0.0124667569215889,0.0376934668093904,60,7.390195758422898e-06,0.0011202721736612,0.0201793937996401,-0.0604574039063998,0.0560249297634517,-0.0434486697501032,-0.0064223795114709,0.0011202721736612,0.0092612141822082,0.0289802484737227
6.0,S&P MidCap 400,Corporate Action,60,0.0007757586109116,0.0020469336165008,0.0148309236492174,-0.0634660913908549,0.0404418056323293,-0.0243276064694808,-0.0031093652752103,0.0020469336165008,0.0064990312660793,0.0222900955752255,60,0.0003557980990168,0.0017822660817715,0.0130808642997709,-0.0523946456845612,0.0363384666219526,-0.0160480205748269,-0.0048616738760702,0.0017822660817715,0.0043631711105968,0.0181801893913185
6.0,S&P SmallCap 600,Corporate Action,93,0.0005163538849099,0.0024952679880233,0.0151691298673047,-0.0415548186321267,0.0379631049516549,-0.0245043935938821,-0.0082524777824973,0.0024952679880233,0.0086057457369532,0.027661633146008,93,3.574398354394712e-06,0.0010038164434158,0.0148061286898847,-0.0441587353462261,0.0411562486379861,-0.0222985247440007,-0.0085040660835167,0.0010038164434158,0.0080711448860818,0.0238454813371005
7.0,S&P MidCap 400,Corporate Action,60,0.0001907008122209,0.0012867269336033,0.0147465494040945,-0.065643058551836,0.0391556501396754,-0.0182913347393563,-0.0044735694724977,0.0012867269336033,0.0067434240257121,0.016431783960194,60,6.836161909334663e-05,0.000714906552182,0.0130594884601951,-0.0535760342428694,0.0377482688627556,-0.0169754654410033,-0.0047913066048612,0.000714906552182,0.0048464727011195,0.0162005352730849
7.0,S&P SmallCap 600,Corporate Action,93,0.0013743004502579,0.0026846942406108,0.0135440912293572,-0.0362543057505089,0.0345280727428263,-0.0224396862533622,-0.0080061223518563,0.0026846942406108,0.0083792300900055,0.0253281312895624,93,0.0007483604834457,0.0019003923069267,0.0125586941156973,-0.0330313872865596,0.0385994417554308,-0.0194803181229906,-0.007141754843863,0.0019003923069267,0.0104586128498515,0.0191581165105047
8.0,S&P MidCap 400,Corporate Action,60,0.0005384154838786,0.0007706520869515,0.0128685779358967,-0.0546760512163813,0.037288155576232,-0.0126900790558438,-0.0043600051757154,0.0007706520869515,0.0059819279212963,0.0134576790058308,60,0.0004584666993078,0.0010613416211864,0.0115467198191871,-0.0461566113092477,0.0347725588852188,-0.013815374383706,-0.004540029338105,0.0010613416211864,0.0042631622980727,0.016086164469072
8.0,S&P SmallCap 600,Corporate Action,93,9.502856639942816e-05,0.0003519281027958,0.0125868796876748,-0.0350959211537278,0.0297677115187656,-0.0196526230040827,-0.0092333685566557,0.0003519281027958,0.0080466304748399,0.0220398144558943,93,-0.0003448284027732,0.0007530001326143,0.0117316576084327,-0.0336031129897325,0.0284267145424252,-0.0181497587774213,-0.0080895823525257,0.0007530001326143,0.0072554676268897,0.0188322229194574
9.0,S&P MidCap 400,Corporate Action,60,0.0007376828322796,0.0017600215152174,0.0116923296293128,-0.0449222912317116,0.0297207007287325,-0.014157755626872,-0.0034568845167296,0.0017600215152174,0.0053474417064436,0.0144772902825178,60,0.0004738602423784,0.0009525662926499,0.0103041892363959,-0.0338879701336663,0.0265681829334862,-0.012977132914383,-0.0038360576439802,0.0009525662926499,0.003884949065042,0.0133233581493116
9.0,S&P SmallCap 600,Corporate Action,93,0.0003078673213258,0.0015290637547275,0.0118909897509035,-0.0412137238013044,0.0327563565010407,-0.0161862930589465,-0.0057099783063183,0.0015290637547275,0.0060405218291657,0.0188629590084206,93,-0.0003838021597974,0.0009426565603768,0.0113662831805525,-0.0384425227580705,0.0300107383898786,-0.0161381345780781,-0.0058879444957481,0.0009426565603768,0.0067756220284866,0.0160685230202044
10.0,S&P MidCap 400,Corporate Action,60,0.0011507319485458,0.001785804249228,0.0102172879086059,-0.034575520293886,0.0230724321331741,-0.0125169686679744,-0.0025068282632578,0.001785804249228,0.0056708823181251,0.0179275867529191,60,0.0009097170408235,0.0006160496717866,0.0088730411016711,-0.0270287763396198,0.0220596522274781,-0.0100905513318785,-0.003264283968983,0.0006160496717866,0.0046680260929447,0.0152071556799241
