strategy_2_n,Index_Name,Event_Type,count,mean,median,std_dev,min,max,5PCT,25PCT,50PCT,75PCT,95PCT,Net_count,Net_mean,Net_median,Net_std_dev,Net_min,Net_max,Net_5PCT,Net_25PCT,Net_50PCT,Net_75PCT,Net_95PCT
1.0,S&P 500,Corporate Action,22,0.02006273397463056,-0.0036897630307128,0.06843430808409862,-0.0662337975993415,0.1866666832748724,-0.05075487760319076,-0.0176009265847191,-0.0036897630307128,0.03372065157643508,0.18200125368899395,22,0.01964794675624543,-0.00012925651598810002,0.06596642834682996,-0.060159895583231,0.1839135381317766,-0.05281911933656186,-0.019132535180505898,-0.00012925651598810024,0.02024836071027335,0.1763954521915406
1.0,S&P 500,Index Review,19,-0.002384029589489211,0.0043494239671467,0.032315904558084356,-0.1062477122604844,0.0410958732614861,-0.039170892645034774,-0.011083430758031951,0.0043494239671467,0.016177794146895748,0.031083313393514785,19,-0.0048903874890392105,-0.0004091227475299,0.030693933844792708,-0.1040248547925615,0.0336290105746247,-0.04083642012500055,-0.00673696460825245,-0.0004091227475299,0.01297961187815855,0.02869142147152519
1.0,S&P MidCap 400,Corporate Action,60,-0.0061163191141604045,-0.00497792987139605,0.02824748432962782,-0.1140819699205006,0.0582031151920094,-0.052834878563955884,-0.019159451165472775,-0.00497792987139605,0.0066679758887636,0.03121986795544929,60,-0.004033404163746974,-0.0022901207574265,0.02611876013710149,-0.0902432205172546,0.0727463029984062,-0.041501408281136895,-0.0184664086805641,-0.0022901207574265,0.012414023780549975,0.02450691034068843
1.0,S&P MidCap 400,Index Review,55,0.0007463854955195059,0.0002947873899355,0.019944782208021913,-0.0484275175161059,0.0445717804944725,-0.03097279059211537,-0.01215271546429925,0.0002947873899355,0.0114857043120812,0.031940149886420556,55,0.0005030111704910126,0.0032142034644126,0.019467028880897054,-0.0532316068024414,0.0405848369640635,-0.03441822800921909,-0.010296411596141749,0.0032142034644126,0.01374728618145915,0.027876672703638885
1.0,S&P SmallCap 600,Corporate Action,93,-0.005289490489209203,0.0,0.03796195442481017,-0.1710087090148595,0.1033057818671053,-0.0590261987725417,-0.0207591021026538,0.0,0.0126282442365801,0.04505304078260759,93,-0.005128522940690794,-0.0013393696652122,0.03665507628985524,-0.1853659303120171,0.0926795477597537,-0.0578987549890171,-0.0180767311251147,-0.0013393696652122,0.013914236714808,0.03964441304076696
1.0,S&P SmallCap 600,Index Review,90,0.0010753658226408374,0.0049644488897486,0.022018145139554333,-0.0597014348731445,0.0458652387310525,-0.04432120138374321,-0.011068357584647625,0.0049644488897486,0.016417637653805675,0.029659343747329606,90,-0.0005160377920124391,0.0040457281416833996,0.021074395660161387,-0.0628610709695226,0.0331500581792052,-0.0438055111785485,-0.012401446059155576,0.0040457281416833996,0.0137633602511336,0.02851277955419115
2.0,S&P 500,Corporate Action,22,0.0028330679201711358,-0.0003616035090762,0.07323918968300712,-0.2015503875968992,0.2077922624809033,-0.0781530755920563,-0.022168185178484602,-0.0003616035090762,0.0144058849560347,0.08204539174903774,22,0.0001621887168960955,-0.00727960373677995,0.07015526192921619,-0.1925919126928411,0.2195982725508777,-0.0706951477824346,-0.017405212399204326,-0.00727960373677995,0.02567266080314015,0.051058766303491356
2.0,S&P 500,Index Review,19,-0.004721290272497889,-0.0004652796441577,0.026823499147511812,-0.089649044652177,0.0284786266403294,-0.03420302900291298,-0.0179968227877382,-0.0004652796441577,0.01001013487059135,0.0238756073121718,19,-0.005148189759476931,-0.0010103762911079,0.02530673240341244,-0.095206186688967,0.02239777193056,-0.03699696873841245,-0.0059889473579067005,-0.0010103762911079,0.00824780057667375,0.019801656973952073
2.0,S&P MidCap 400,Corporate Action,60,0.003709345218004516,0.0022574145158659,0.03642231464620132,-0.1552990119313366,0.0727732204216137,-0.042202834907231694,-0.0109086879313177,0.0022574145158659,0.025392165713575627,0.05805968883419356,60,8.866072435323678e-05,-0.00057702023261705,0.028930301173394412,-0.1216300341358759,0.0644402696161873,-0.03412083907487033,-0.0091228887226121,-0.00057702023261705,0.011960318835094701,0.04588513220750392
2.0,S&P MidCap 400,Index Review,55,0.00894409140036969,0.0056088053079984,0.022618398659317727,-0.0422535667381373,0.0602352366727941,-0.02336499470441875,-0.004619654514302501,0.0056088053079984,0.0235632034970116,0.04805968043627073,55,0.00601123453822385,0.0065615403967407,0.018975255102095648,-0.0406813947518611,0.0533309997982534,-0.02507032211526605,-0.00468348035844535,0.0065615403967407,0.015591043187848,0.038116412233604596
