Date,Open,High,Low,Close,Volume,ADV20,Return,Ticker,Index_Name,GICS_Sector,Event_Type,Open_IJR,Close_IJR,Volume_IJR,ADV20_IJR,strategy_2_n,strategy_2,strategy_2_md,strategy_2_n_etf,strategy_2_etf,strategy_2_md_etf,strategy_2_net,Volatility,Open_IJH,Close_IJH,Volume_IJH,ADV20_IJH,Open_SPY,Close_SPY,Volume_SPY,ADV20_SPY,Previous_Close
2024-05-09,77.02416875,77.84251281,76.52517828,77.59301758,634500,1427560.0,0.009871453,AAON,S&P MidCap 400,Industrials,Corporate Action,107.4222706,108.6820908,2736800.0,3460675.0,2.0,0.0098714528862994,0.0098714528862994,2.0,0.0120079689308207,0.0120079689308207,-0.0021365160445213,0.0359633467784802,,,,,,,,,76.83454895
2023-02-07,68.09848417,68.55143154,67.61781383,68.1354599,920200,1696205.0,-0.006737455,ADC,S&P MidCap 400,Real Estate,Corporate Action,102.524632,103.6552353,3397200.0,3582225.0,2.0,-0.0067374548852803,-0.0067374548852803,2.0,0.0070069425118951,0.0070069425118951,-0.0137443973971753,0.0104672298436299,,,,,,,,,68.59763336
2024-03-04,36.353157671880304,36.55882223881861,36.00059411243359,36.490264892578125,3369900,6297720.0,0.0127751681781826,AMH,S&P MidCap 400,Real Estate,Corporate Action,106.76241938817095,106.16902160644533,5335500.0,4600005.0,2.0,0.0127751681781827,0.0127751681781827,2.0,-0.0050973458869156,-0.0050973458869156,0.0178725140650983,0.0124228336421821,,,,,,,,,36.02997589111328
2024-07-23,159.4199981689453,163.7100067138672,158.25999450683594,161.39999389648438,1065500,1950765.0,0.0188107294658663,ANF,S&P MidCap 400,Consumer Discretionary,Corporate Action,114.0357006796224,115.7580795288086,5362800.0,3582260.0,2.0,0.0188107294658662,0.0188107294658662,2.0,0.0078008932329621,0.0078008932329621,0.0110098362329041,0.0296909590567968,,,,,,,,,158.4199981689453
2024-04-02,237.44000244140625,239.72999572753903,234.02999877929688,235.7400054931641,343000,445000.0,-0.0225557150170833,APPF,S&P MidCap 400,Information Technology,Corporate Action,107.36276472214792,106.6187744140625,3865600.0,3930200.0,2.0,-0.0225557150170832,-0.0225557150170832,2.0,-0.0174604271635455,-0.0174604271635455,-0.0050952878535376,0.0283761044602178,,,,,,,,,241.17999267578125
2022-10-21,34.27000045776367,34.310001373291016,32.02000045776367,33.470001220703125,12941400,10083415.0,-0.0428939075676085,AR,S&P MidCap 400,Energy,Corporate Action,87.7306970704248,89.5262680053711,4513400.0,4869305.0,2.0,-0.0428939075676086,-0.0428939075676086,2.0,0.0238652018681651,0.0238652018681651,-0.0667591094357737,0.0354208683137827,,,,,,,,,34.970001220703125
2024-07-29,25.540000915527344,26.440000534057617,25.209999084472656,26.25,12811100,14002550.0,0.0253906097204892,AVTR,S&P MidCap 400,Health Care,Corporate Action,117.58002805281382,116.47491455078124,4422500.0,3899640.0,2.0,0.0253906097204892,0.0253906097204892,2.0,-0.0063699557244764,-0.0063699557244764,0.0317605654449656,0.0330783886364877,,,,,,,,,25.600000381469727
2023-11-08,131.0800018310547,134.36000061035156,130.19000244140625,130.6199951171875,1040900,2048270.0,-0.0040411651083659,BURL,S&P MidCap 400,Consumer Discretionary,Corporate Action,91.43047597219628,90.4736557006836,4647700.0,4970475.0,2.0,-0.0040411651083659,-0.0040411651083659,2.0,-0.009396172180457,-0.009396172180457,0.0053550070720911,0.029537669882989,,,,,,,,,131.14999389648438
2022-08-11,34.650001525878906,35.96333312988281,34.150001525878906,34.369998931884766,6345300,6728145.0,0.0048727448498522,CELH,S&P MidCap 400,Consumer Staples,Corporate Action,100.30748655636044,100.16265106201172,3076200.0,4539455.0,2.0,0.0048727448498522,0.0048727448498522,2.0,0.0067942118983371,0.0067942118983371,-0.0019214670484848,0.0567839073697758,,,,,,,,,34.20333480834961
2023-12-01,33.362184952075786,34.435553810844794,33.303640063895706,34.328216552734375,4281000,5250035.0,0.02625434798401,CG,S&P MidCap 400,Financials,Corporate Action,94.66590675583434,97.7040557861328,10053100.0,4875785.0,2.0,0.0262543479840099,0.0262543479840099,2.0,0.0291980458662714,0.0291980458662714,-0.0029436978822615,0.0187104999733117,,,,,,,,,33.450008392333984
2023-08-22,84.3804047442515,85.11913633813661,83.40839222130106,83.66111755371094,2087524,2958496.9,-0.0081815571984515,CHK,S&P MidCap 400,Energy,Corporate Action,96.7300133671876,96.24901580810548,2779800.0,2939800.0,2.0,-0.0081815571984516,-0.0081815571984516,2.0,-0.001933940485424,-0.001933940485424,-0.0062476167130276,0.01732113402509,,,,,,,,,84.35124206542969
2023-10-02,73.6127831411408,73.6127831411408,70.07580581001974,70.43041229248047,1198700,2572920.0,-0.0421664626619487,CIVI,S&P MidCap 400,Energy,Corporate Action,92.8804906658067,91.69679260253906,5212600.0,4059965.0,2.0,-0.0421664626619487,-0.0421664626619487,2.0,-0.0145235192064028,-0.0145235192064028,-0.0276429434555459,0.0195762479598795,,,,,,,,,73.53095245361328
2023-11-14,32.599998474121094,33.349998474121094,32.45000076293945,33.33000183105469,2973100,3602445.0,0.0435191381889588,CNM,S&P MidCap 400,Industrials,Corporate Action,92.94955396847848,95.0900650024414,6410600.0,5230805.0,2.0,0.0435191381889587,0.0435191381889587,2.0,0.0543586247875403,0.0543586247875403,-0.0108394865985815,0.0207047703406254,,,,,,,,,31.940000534057617
