Date,Open,High,Low,Close,Volume,ADV20,Return,Ticker,Index_Name,GICS_Sector,Event_Type,Open_IJR,Close_IJR,Volume_IJR,ADV20_IJR,strategy_2_n,strategy_2,strategy_2_md,strategy_2_n_etf,strategy_2_etf,strategy_2_md_etf,strategy_2_net,Volatility,Open_IJH,Close_IJH,Volume_IJH,ADV20_IJH,Open_SPY,Close_SPY,Volume_SPY,ADV20_SPY,Previous_Close
2024-09-24,19.93000031,20.04999924,19.06999969,19.29000092,6647200,7104225.0,-0.03694457,ADMA,S&P SmallCap 600,Health Care,Index Review,,,,,2.0,-0.0369445703698575,-0.0369445703698575,2.0,-0.0001599331583766,-0.0001599331583766,-0.0367846372114809,0.0396723883646102,62.42050455,62.29100037,5670300.0,7216645.0,,,,,20.03000069
2024-09-24,22.52000046,22.72999954,22.19499969,22.48999977,1721900,2220740.0,0.016726895,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,,,,,2.0,0.0167268949344217,0.0167268949344217,2.0,-0.0001599331583766,-0.0001599331583766,0.0168868280927983,0.0255700790182711,62.42050455,62.29100037,5670300.0,7216645.0,,,,,22.12000084
2022-09-20,10.41944624,10.49591917,10.04664094,10.29517841,6933600,9495930.0,-0.027100263,AEO,S&P SmallCap 600,Consumer Discretionary,Index Review,,,,,2.0,-0.0271002634759611,-0.0271002634759611,2.0,-0.0162574597480281,-0.0162574597480281,-0.010842803727933,0.0309328372054139,46.14186396,45.78477097,3795000.0,4589950.0,,,,,10.5819521
2023-12-19,27.15999984741211,27.82999992370605,26.81999969482422,27.739999771118164,4889600,4114605.0,0.0258875307651655,ALKS,S&P SmallCap 600,Health Care,Index Review,,,,,2.0,0.0258875307651656,0.0258875307651656,2.0,0.0132013825579855,0.0132013825579855,0.0126861482071801,0.0251786146451253,54.51100999578354,54.96676635742188,6617500.0,9657100.0,,,,,27.040000915527344
2023-12-19,39.5,40.59000015258789,39.290000915527344,40.20000076293945,4155800,6032785.0,0.0236822076479481,ALK,S&P SmallCap 600,Industrials,Index Review,,,,,2.0,0.0236822076479482,0.0236822076479482,2.0,0.0132013825579855,0.0132013825579855,0.0104808250899627,0.039341423563926,54.51100999578354,54.96676635742188,6617500.0,9657100.0,,,,,39.27000045776367
2024-03-19,45.95377243521333,46.3203711054491,45.41873408645378,45.92404556274414,1362500,2720495.0,-0.0051513711620065,AL,S&P SmallCap 600,Industrials,Index Review,,,,,2.0,-0.0051513711620066,-0.0051513711620066,2.0,0.0078849254283053,0.0078849254283053,-0.0130362965903119,0.0154017852469475,57.68267154686309,58.25731658935547,5838400.0,6728560.0,,,,,46.161842346191406
2023-09-19,15.021063972554591,15.049017667310004,14.830038468010834,14.890606880187988,2118500,4515170.0,-0.0056006057366532,APLE,S&P SmallCap 600,Real Estate,Index Review,,,,,2.0,-0.0056006057366532,-0.0056006057366532,2.0,-0.0015590358780399,-0.0015590358780399,-0.0040415698586133,0.0163219250964028,50.41461312437849,50.30659103393555,4837000.0,6136275.0,,,,,14.974472999572754
2024-03-19,158.89909759524505,163.61429688650014,157.22323730026605,162.79620361328125,551800,845745.0,0.0202597207863364,ARCH,S&P SmallCap 600,Materials,Index Review,,,,,2.0,0.0202597207863363,0.0202597207863363,2.0,0.0078849254283053,0.0078849254283053,0.012374795358031,0.0272791127365801,57.68267154686309,58.25731658935547,5838400.0,6728560.0,,,,,159.56349182128906
2023-03-21,33.9879220684529,34.619249359786934,33.32832762487276,33.89369583129883,935100,1660050.0,0.040196649793331,AUB,S&P SmallCap 600,Financials,Index Review,,,,,2.0,0.0401966497933311,0.0401966497933311,2.0,0.017610041995627,0.017610041995627,0.0225866077977041,0.0368463886906527,47.7985004267712,47.89992141723633,4882500.0,7123775.0,,,,,32.58393096923828
2023-12-19,97.14265624688966,97.62921142578124,95.63333140001426,97.62921142578124,448800,943075.0,0.0116266512856826,AWI,S&P SmallCap 600,Industrials,Index Review,,,,,2.0,0.0116266512856826,0.0116266512856826,2.0,0.0132013825579855,0.0132013825579855,-0.0015747312723028,0.0163433691287888,54.51100999578354,54.96676635742188,6617500.0,9657100.0,,,,,96.50715637207033
2024-03-19,7.885339105684875,7.994857361499701,7.755907921812443,7.9450764656066895,4260000,10067940.0,0.0,BGC,S&P SmallCap 600,Financials,Index Review,,,,,2.0,0.0,0.0,2.0,0.0078849254283053,0.0078849254283053,-0.0078849254283053,0.0368815541028124,57.68267154686309,58.25731658935547,5838400.0,6728560.0,,,,,7.9450764656066895
2024-03-19,63.27999877929688,65.61000061035156,62.900001525878906,64.27999877929688,740500,1632110.0,0.0045319126929741,BL,S&P SmallCap 600,Information Technology,Index Review,,,,,2.0,0.0045319126929741,0.0045319126929741,2.0,0.0078849254283053,0.0078849254283053,-0.0033530127353312,0.0327153459863597,57.68267154686309,58.25731658935547,5838400.0,6728560.0,,,,,63.9900016784668
2024-03-19,29.0,29.229999542236328,28.64999961853028,28.790000915527344,3140400,4549805.0,-0.0116717560945618,BOX,S&P SmallCap 600,Information Technology,Index Review,,,,,2.0,-0.0116717560945618,-0.0116717560945618,2.0,0.0078849254283053,0.0078849254283053,-0.0195566815228671,0.0256903171162311,57.68267154686309,58.25731658935547,5838400.0,6728560.0,,,,,29.1299991607666
