Date,Open,High,Low,Close,Volume,ADV20,Return,Ticker,Index_Name,GICS_Sector,Event_Type,strategy_1_n_y,strategy_1_y,strategy_1_md_y,Volatility
2023-08-22,65.47824988,66.52394701,65.04824108,65.81052399,3549400,1923410.0,-0.012610005,AAP,S&P SmallCap 600,Consumer Discretionary,Corporate Action,1.0,0.0,0.0050745722527547,0.0191113049418729
2023-06-21,12.23509631,12.54441107,12.06325523,12.39834595,16966500,3557995.0,0.073660927,ABR,S&P SmallCap 600,Financials,Corporate Action,1.0,0.0,0.0133427343654477,0.0244926374080392
2023-11-09,25.5,26.67000008,25.46999931,26.04000092,3241800,733785.0,0.065030679,ACIW,S&P SmallCap 600,Information Technology,Corporate Action,1.0,0.0,0.0211765066666667,0.0391623248082398
2024-09-09,17.5,19.34000015,17.47999954,18.37999916,9462300,3766130.0,0.130381236,ADMA,S&P SmallCap 600,Health Care,Index Review,1.0,0.0,0.0502856662857142,0.0397466483585518
2024-09-09,21.21999931,21.64999962,20.70999908,21.17000008,1903300,1321115.0,0.002367388,ADNT,S&P SmallCap 600,Consumer Discretionary,Index Review,1.0,0.0,-0.0023562314621016,0.0214929173541299
2022-09-06,10.84004902,11.13638142,10.53415728,10.78269386,8518300,5821285.0,0.011659274,AEO,S&P SmallCap 600,Consumer Discretionary,Index Review,1.0,0.0,-0.0052910424938281,0.0385430375221968
2022-08-02,24.100000381469727,24.405000686645508,23.549999237060547,24.14999961853028,8503200,1055615.0,0.0829596612001315,AHCO,S&P SmallCap 600,Health Care,Corporate Action,1.0,0.0,0.002074657106603,0.0216082650440254
2023-12-04,25.940000534057617,26.420000076293945,25.06999969482422,26.32999992370605,6165900,2211235.0,0.0839851350880205,ALKS,S&P SmallCap 600,Health Care,Index Review,1.0,0.0,0.0150346716121454,0.0257425717669293
2023-12-04,33.66999816894531,34.279998779296875,32.0,34.08000183105469,22669400,3098910.0,-0.1422098609685413,ALK,S&P SmallCap 600,Industrials,Index Review,1.0,0.0,0.0121771216039903,0.0394530438117329
2024-03-04,41.71253040087698,42.14652084059352,41.13058670807586,41.29826354980469,4022600,1022235.0,0.0493733425571942,AL,S&P SmallCap 600,Industrials,Index Review,1.0,0.0,-0.0099314725597079,0.0201090925585091
2023-11-08,220.8979726249496,226.70739164988305,215.67747810565976,222.02590942382807,1023400,261405.0,0.0743853644197716,AMR,S&P SmallCap 600,Materials,Corporate Action,1.0,0.0,0.005106143734481,0.0372067167574453
2022-05-13,38.22999954223633,40.97999954223633,37.45000076293945,38.75,2296400,594405.0,0.1671686478771383,AOSL,S&P SmallCap 600,Information Technology,Corporate Action,1.0,0.0,0.0136018954744998,0.0658435957283573
2023-09-05,14.797425229591202,15.053678401881276,14.639014436149402,14.685606002807615,7291400,1435835.0,0.0485694312929489,APLE,S&P SmallCap 600,Real Estate,Index Review,1.0,0.0,-0.0075566678019075,0.0169565652268103
2022-06-27,18.0,18.200000762939453,17.420000076293945,17.610000610351562,5435000,5324140.0,0.0155709605183236,APPS,S&P SmallCap 600,Information Technology,Corporate Action,1.0,0.0,-0.0216666327582465,0.0739878515025714
2024-03-04,172.7472371162374,180.7397878167104,172.7472371162374,176.68896484375,1303700,450590.0,0.0543195232006987,ARCH,S&P SmallCap 600,Materials,Index Review,1.0,0.0,0.0228178915814458,0.0271777805551206
2022-04-22,14.090635604109272,14.407602792258093,13.77366841596045,13.869718551635742,7003800,847050.0,0.0939393230514922,ATEN,S&P SmallCap 600,Information Technology,Corporate Action,1.0,0.0,-0.0156782886649274,0.0323819944504221
2023-03-06,36.56976150165819,38.67103819639473,36.56976150165819,37.86067962646485,2481700,374670.0,0.079817227637716,AUB,S&P SmallCap 600,Financials,Index Review,1.0,0.0,0.0353001515951403,0.0203158079456396
2023-12-04,90.42021456553952,91.25431670692114,89.23858059761918,90.8174057006836,2044000,366760.0,0.0547802373366939,AWI,S&P SmallCap 600,Industrials,Index Review,1.0,0.0,0.0043927249791713,0.0176692599964998
2024-09-25,30.040000915527344,30.65999984741211,29.709999084472656,30.530000686645508,4058900,6260630.0,0.0152976719817017,BBWI,S&P SmallCap 600,Consumer Discretionary,Corporate Action,1.0,0.0,0.0163115764375656,0.0296215025298617
2022-10-28,33.499684535744485,35.75016200648666,33.1945354181182,35.29243469238281,2850200,945095.0,0.0718215556189389,BFH,S&P SmallCap 600,Financials,Corporate Action,1.0,0.0,0.0535154339953691,0.0387266081032867
2024-03-04,7.586651150223135,8.12428781600271,7.417395074931363,8.104375839233398,25839900,4404430.0,0.1480959365997838,BGC,S&P SmallCap 600,Financials,Index Review,1.0,0.0,0.0682415309151305,0.0393275125639857
2024-03-04,61.52000045776367,65.63999938964844,61.0099983215332,65.3499984741211,3328500,823055.0,0.1130982710474024,BL,S&P SmallCap 600,Information Technology,Index Review,1.0,0.0,0.0622561441459497,0.0332371698100221
2023-05-26,37.94132697133675,38.18187382497528,35.56363365925578,36.28527069091797,2115800,1511895.0,-0.0083439315738186,BOH,S&P SmallCap 600,Financials,Corporate Action,1.0,0.0,-0.0436478218505607,0.0539929305545154
2024-03-04,28.0,28.559999465942383,27.600000381469727,27.8799991607666,7529900,1669380.0,0.0504897588174266,BOX,S&P SmallCap 600,Information Technology,Index Review,1.0,0.0,-0.0042857442583356,0.0193381525131434
2024-01-18,24.40628849493653,25.385510706524943,24.10925530867812,25.178577423095703,11647000,2992170.0,0.0928233236290623,BTU,S&P SmallCap 600,Energy,Corporate Action,1.0,0.0,0.031643030373889,0.0285481442472175
