Date,Total_Position_Size,Total_Sale_Proceeds,RGL,Transaction_Costs,Slippage_Cost,Long_Overnight_Cost,Cumulative_Net_PnL
2022-03-30,1520968.210270822,1528357.3039489745,7389.0936781524215,197.468,0.015639782624567625,73.75654060765356,7117.853497762143
2022-09-26,5000000.0,4832957.145218408,-167042.85478159133,4837.19884583059,0.012755764452301829,615.068493150685,-165377.28137857493
2022-10-07,1251363.1648253642,1239314.0293548584,-12049.135470505804,407.216,0.017492999458757215,155.99184657412073,-177989.6421886543
2022-10-28,1452273.379995068,1491211.132155883,38937.75216081482,526.186,0.01451570446781504,181.0368186021249,-139759.12736214607
2022-12-13,3789045.992907588,3892888.5831470494,103842.59023946135,508.6136666666667,0.04928122313049073,550.1902400660333,-36975.39031064055
2022-12-20,1983922.3664740527,2014173.9212226868,30251.55474863411,401.94700000000006,0.018128684262297492,315.2534171383426,-7441.054107829044
2022-12-29,487233.8721162139,483069.4800468444,-4164.392069369496,167.018,0.010932428893729461,77.42346461024769,-11849.898574237683
2023-03-13,2219126.497746277,2249446.254098511,30319.7563522337,148.263,0.06152983916353471,367.8278167497254,17953.70543140713
2023-03-14,2806467.0192121137,2914847.3887939453,108380.36958183162,580.11,0.027568759111653268,465.1815196228298,125288.75592485681
2023-05-02,1463095.3733695983,1487685.2072463988,24589.83387680049,135.109,0.02470384063850196,252.93511797156614,149490.5209798451
2023-06-29,56281.94875717163,57699.177017211914,1417.2282600402832,32.58,0.0056026619055433505,10.115331064302627,150865.04830615918
2023-07-05,3598707.222605924,4424640.118144989,825932.8955390649,2498.42,0.0,646.7813528847906,973652.7424923392
2023-08-22,5000000.0,5107573.150801271,107573.1508012712,4520.515623070188,0.0016380115882474776,931.5068493150686,1075773.8691832137
2023-10-16,5000000.0,5165863.213928484,165863.21392848354,261.7575254325167,0.09331039999872646,932.876712328767,1240442.355563536
2024-04-01,5000000.0,5001495.835964036,1495.8359640361741,1350.5952705522936,0.0,938.3561643835617,1239649.2400926363
2024-05-06,4693035.112638832,4746060.555676269,53025.443037437275,1146.016,0.020516985549044353,875.6046333443957,1290653.0419797436
2024-09-25,4076.5,3682.0,-394.5,2.63,0.004650141603039306,0.7080824657534247,1290255.1992471362
