strategy_1_n,Index_Name,Event_Type,count,mean,median,std_dev,min,max,5PCT,25PCT,50PCT,75PCT,95PCT
1,DJIA,Corporate Action,1,-0.002071778,-0.002071778,,-0.002071778,-0.002071778,-0.002071778,-0.002071778,-0.002071778,-0.002071778,-0.002071778
1,DJTA,Corporate Action,1,0.001572363,0.001572363,,0.001572363,0.001572363,0.001572363,0.001572363,0.001572363,0.001572363,0.001572363
1,S&P 100,Index Review,3,-0.010087613666666667,-0.015371825,0.01432257447005811,-0.021017316,0.0061263,-0.020452766900000002,-0.0181945705,-0.015371825,-0.0046227625,0.003976487499999999
1,S&P 500,Corporate Action,21,0.016059680571428574,0.015248356,0.05759088452922147,-0.096774194,0.229508222,-0.035276792,-0.00072311,0.015248356,0.026811586,0.038618081
1,S&P 500,Index Review,19,-0.0011631854210526315,-0.00281969,0.025253898951195616,-0.035857671,0.058103904,-0.0320548164,-0.018960655,-0.00281969,0.012038234500000002,0.03877897889999995
1,S&P MidCap 400,Corporate Action,58,-0.009777797758620692,-0.0099246645,0.030307232782540574,-0.084583887,0.062649462,-0.06298180005000001,-0.026958683249999997,-0.0099246645,0.01216415175,0.03367313435
1,S&P MidCap 400,Index Review,55,-0.006918083436363636,-0.013442767,0.0337089213589237,-0.063531724,0.176907108,-0.0412238593,-0.023727909999999998,-0.013442767,0.005842214,0.035489725399999984
1,S&P SmallCap 600,Corporate Action,92,0.008680828097826087,0.001847501,0.04187686184983637,-0.056890415,0.229508222,-0.0420899642,-0.020211374499999997,0.001847501,0.027548757,0.06492065535000001
1,S&P SmallCap 600,Index Review,90,0.004476867344444444,-0.0005404445,0.029989230958540128,-0.065270904,0.125840647,-0.0460240013,-0.012026564,-0.0005404445,0.02275087775,0.05225027314999999
2,DJIA,Corporate Action,1,0.016692315,0.016692315,,0.016692315,0.016692315,0.016692315,0.016692315,0.016692315,0.016692315,0.016692315
2,DJTA,Corporate Action,1,0.011202824,0.011202824,,0.011202824,0.011202824,0.011202824,0.011202824,0.011202824,0.011202824,0.011202824
2,S&P 100,Index Review,3,-0.010449648,-0.007852213,0.0071375717230400555,-0.018522207,-0.004974524,-0.017455207599999998,-0.01318721,-0.007852213,-0.006413368500000001,-0.005262292900000001
2,S&P 500,Corporate Action,19,-0.0024657793157894735,-0.001025671,0.020897083783379435,-0.064354835,0.023546331,-0.032081348,-0.007906430499999999,-0.001025671,0.011613794,0.0225283167
2,S&P 500,Index Review,19,0.0015703161578947366,-0.003306931,0.016269407980887947,-0.020889216,0.031498433,-0.0173863503,-0.0116481105,-0.003306931,0.0146835905,0.025597863799999985
2,S&P MidCap 400,Corporate Action,58,-0.006769972241379311,-0.005961116,0.02112184298121153,-0.073669845,0.050820316,-0.0412684735,-0.019403965250000002,-0.005961116,0.008858626,0.021696763049999998
